title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
Supine Spinal Rotation,/exercise/785,https://app.strength.muscleandmotion.com/exercise/785,External Oblique; Internal Oblique,Multifidus; Gluteus Maximus,Hip Adductor Muscles; Gluteus Medius,"Lie on your back, place a resistance band near the knees and place your legs on a stability ball. Stretch your arms out to the sides and keep your shoulders on the mat throughout the movement.",Resistance Band; Stability Ball
Supine Suspended Leg Curl (Straps),/exercise/352,https://app.strength.muscleandmotion.com/exercise/352,Hamstrings; Semimembranosus (Hamstring) (1); Semitendinosus (Hamstring) (2); Biceps Femoris Long Head (Hamstring) (4); Biceps Femoris Short Head (Hamstring) (3),Gastrocnemius,Gluteus Maximus; Erector Spinae; Gluteus Medius; Abdominal Muscles; Multifidus; Transversus Abdominis; Pelvic Diaphragm,"The exercise targets the hamstrings (red). The hamstring muscles stabilize the knee and should assist in hip extension, but the biarticulate hamstring muscles enter active insufficiency when they complete hip extension if the knees are more flexed (and the gluteus maximus becomes more active).",Straps
Suspended Abducted Lunge (Straps),/exercise/349,https://app.strength.muscleandmotion.com/exercise/349,Gluteus Medius; Piriformis (Hip Rotators) (3); Quadriceps Femoris; Gluteus Maximus; Hip External Rotators (Deep Layer),Adductor Magnus; Soleus; Hamstrings; Gastrocnemius,Erector Spinae; Quadratus Lumborum; Gluteus Minimus; Hip Adductor Muscles; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,,Straps
Suspended Atomic Push-up (Straps),/exercise/350,https://app.strength.muscleandmotion.com/exercise/350,"Rectus Abdominis; External Oblique; Transversus Abdominis; Pectoralis Major, Sternal Head",Erector Spinae; Multifidus; Diaphragm; Pelvic Diaphragm; Psoas Major,Transversospinales Muscles; Triceps Brachii; Quadriceps Femoris; Serratus Anterior,"Suspended Atomic Push-ups (Straps) The target muscle in this exercise is not only the Pectoralis major but also the stabilizing muscles – the core muscles. The core muscles are intensively active in all exercises in which the entire body serves as a ""bridge"" between arms and legs.",Straps
Suspended Crossing Lunge (Straps),/exercise/351,https://app.strength.muscleandmotion.com/exercise/351,Quadriceps Femoris; Gluteus Maximus,Adductor Magnus; Soleus; Hamstrings; Gastrocnemius,Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus; Hip Adductor Muscles; Levator Scapulae; Upper Trapezius; Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm,,Straps
Suspended Crunch,/exercise/539,https://app.strength.muscleandmotion.com/exercise/539,Iliacus; Psoas Major; Rectus Abdominis,External Oblique; Internal Oblique; Tensor Fasciae Latae; Sartorius,Serratus Anterior; Quadriceps Femoris; Triceps Brachii; Pelvic Diaphragm; Transversus Abdominis,"Start in a plank position with your forearm on the ground just below your shoulder and your feet directly behind you. Engage your abdominal muscles and lift up your pelvis by flexing your thorax. Slowly, and with control, return to the starting position and repeat.",
Suspended Glute Bridge (straps),/exercise/353,https://app.strength.muscleandmotion.com/exercise/353,Gluteus Maximus,Semitendinosus (Hamstring) (2); Semimembranosus (Hamstring) (1); Biceps Femoris Long Head (Hamstring) (4); Biceps Femoris Short Head (Hamstring) (3),Erector Spinae; Abdominal Muscles; Multifidus; Transversus Abdominis; Pelvic Diaphragm; Gastrocnemius,"Lie face up on the floor, with your knees bent, and place both feet into the strap handles. Keep your arms at your sides with your palms down. Lift your hips off the ground until your knees, hips, and shoulders form a straight line. Slowly lower your hips back until you touch the ground, and repeat.",Straps
Suspended Hamstring Curl (Straps),/exercise/622,https://app.strength.muscleandmotion.com/exercise/622,Hamstrings,Gastrocnemius,Abdominal Muscles; Erector Spinae; Lower Trapezius; Triceps Brachii; Gluteus Maximus; Latissimus Dorsi,"The suspended hamstring curls with straps is an advanced exercise that primarily targets the hamstrings while also engaging the glutes, core, and lower back for stabilization. Lie on your back with your heels in the suspension straps and your arms by your sides. Lift your hips into a bridge position, engaging your glutes and core. Curl both legs simultaneously, bringing your heels toward your glutes, maintaining control and balance throughout the movement. Return to the starting position and repeat for the desired number of repetitions.",Straps
Suspended Incline Press (Leg Down),/exercise/355,https://app.strength.muscleandmotion.com/exercise/355,"Pectoralis Major, Clavicular Head; Middle Deltoid",Triceps Brachii; Serratus Anterior; Upper Trapezius,Quadriceps Femoris; Abdominal Muscles; Erector Spinae; Pelvic Diaphragm,"Suspended Incline Handstand Press with One Leg Down. The suspended incline handstand press with one leg down is a great bodyweight exercise that targets your shoulder muscles; it can also be used as a preparatory exercise for the suspended handstand press. Lift one leg up in the air and place it in the suspended handle. After you stabilize yourself, begin to bend your elbows to lower yourself toward the mat; once the top of your head grazes the mat, press your body back up by extending your elbows and flexing your shoulders.",Bodyweight
Suspended Incline Press (Straps),/exercise/354,https://app.strength.muscleandmotion.com/exercise/354,"Pectoralis Major, Clavicular Head; Middle Deltoid",Triceps Brachii; Serratus Anterior; Upper Trapezius,Quadriceps Femoris; Abdominal Muscles; Erector Spinae; Pelvic Diaphragm,"The suspended incline press is a great bodyweight exercise to target your shoulder and chest muscles while improving shoulder stability. Start by placing both hands on the ground a little wider than shoulder-width apart. Lift your legs up into the air and place them on the suspended handle. After you stabilize yourself, begin to bend your elbows to lower yourself toward the mat; once the top of your head grazes the mat, press your body back up by extending your elbows and flexing your shoulders.",Bodyweight; Straps
Suspended Oblique Atomic Close Grip Push-up,/exercise/358,https://app.strength.muscleandmotion.com/exercise/358,"External Oblique; Rectus Abdominis; Transversus Abdominis; Erector Spinae; Pectoralis Major, Clavicular Head",Multifidus; Diaphragm; Pelvic Diaphragm; Psoas Major; Anterior Deltoid; Pectoralis Major (Respiration); Serratus Anterior,Triceps Brachii; Quadriceps Femoris; Serratus Anterior,"The Suspended Oblique Atomic Close Grip Push-up is a combination exercise that targets your chest and your core muscles. Start in a push-up position with your hands below your shoulder and your feet directly behind you. Bring your knees toward your elbows while contracting your abdominal muscles, and repeat on the other side. Go back to the starting position and perform a push-up while maintaining a straight back.",
Suspended Pike (Straps),/exercise/540,https://app.strength.muscleandmotion.com/exercise/540,Abdominal Muscles; Iliacus; Psoas Major,Sartorius; Tensor Fasciae Latae; Tensor Fasciae Latae,Abdominal Muscles; Erector Spinae; Quadriceps Femoris; Pelvic Diaphragm,Sit on the floor facing suspension trainer loops in low position. Place right foot in the left lower loop. Cross left leg over right leg placed in the right lower loop. Turn body and place hands on floor shoulder-width apart. Raise rear end up by bending hips.,Straps
Suspended Prone Plank Oblique (Straps),/exercise/359,https://app.strength.muscleandmotion.com/exercise/359,External Oblique; Internal Oblique,Rotatores; Multifidus,Rectus Abdominis; Pelvic Diaphragm; Quadriceps Femoris; Psoas Major; Serratus Anterior; Triceps Brachii,"The exercise is for the core muscles, with an emphasis on the obliques. From the plank position, we rotate the pelvis in the horizontal plane, causing spinal rotation.",Straps
Suspended Push-up,/exercise/360,https://app.strength.muscleandmotion.com/exercise/360,"Pectoralis Major, Sternal Head","Anterior Deltoid; Triceps Brachii; Serratus Anterior; Coracobrachialis; Biceps Brachii, long head",Abdominal Muscles; Transversospinales Muscles; Pelvic Diaphragm; Psoas Major; Sartorius,"The target muscle in this exercise is not only the Pectoralis major but also the stabilizing muscles – the core muscles. The core muscles are intensively active in all exercises in which the entire body serves as a ""bridge"" between arms and legs.",
Swing (Kettlebell),/exercise/362,https://app.strength.muscleandmotion.com/exercise/362,Gluteus Maximus; Erector Spinae; Hamstrings,Quadriceps Femoris,Erector Spinae; Gastrocnemius; Abdominal Muscles; Pelvic Diaphragm; Trapezius; Anterior Deltoid,"The target muscles are the hip extensors, part of the Superficial Back Line.",Kettlebell
Swing (Rings),/exercise/1282,https://app.strength.muscleandmotion.com/exercise/1282,Latissimus Dorsi; Triceps Brachii; Psoas Major; Rectus Abdominis,Posterior Deltoid; Teres Major; Iliacus; Lower Trapezius; Pectoralis Major (Respiration); Quadriceps Femoris,Abdominal Muscles; Trapezius,"Place the rings further in your palms than in a neutral grip. The rings should be resting at the base of your palm, right at the crease of the wrist and hand. Wrap your fingers and your thumb around the rings. Begin from a passive hang (shoulders relaxed) and start with small swings through your shoulders, alternating between hollow and arch positions.",
Swing and Rear Lunge (Kettlebell),/exercise/472,https://app.strength.muscleandmotion.com/exercise/472,Gluteus Maximus; Quadriceps Femoris,Hamstrings; Gastrocnemius,Abdominal Muscles; Erector Spinae; Gluteus Medius; Gluteus Minimus; Upper Trapezius,"Stand with feet hip-width apart and hold the kettlebell in one hand. Swing the kettlebell back between your legs while bending your knees and hinging at your hips, keeping your core tight and weight on the heels. Drive your hips forward and swing the kettlebell to a front rack position. Take a step backward and lower your hip until the knee gently touches the floor. Return to the starting position and repeat.",Kettlebell
"Swing Clean and Push-Press, HS (Kettlebell)",/exercise/501,https://app.strength.muscleandmotion.com/exercise/501,Gluteus Maximus; Quadriceps Femoris; Deltoid,Serratus Anterior; Gastrocnemius; Trapezius; Hamstrings,Abdominal Muscles; Erector Spinae,"Swing Clean and Push-Press, HS (kettlebell)",Kettlebell
Swing Jump,/exercise/1208,https://app.strength.muscleandmotion.com/exercise/1208,Gluteus Maximus; Erector Spinae; Gastrocnemius; Quadriceps Femoris,Hamstrings; Soleus,Erector Spinae; Gastrocnemius; Abdominal Muscles; Pelvic Diaphragm; Trapezius; Anterior Deltoid,"Start with the kettlebell on the floor slightly in front of you and between your feet. Grasp the kettlebell and pull it back between your legs to create momentum. Drive your hips forward and straighten your back, jump up and send the kettlebell to shoulder height.",Kettlebell
Swing Pull (Rings),/exercise/1281,https://app.strength.muscleandmotion.com/exercise/1281,Latissimus Dorsi; Triceps Brachii; Pectoralis Major; Psoas Major; Abdominal Muscles,Posterior Deltoid; Teres Major; Iliacus; Psoas Major; Rhomboid Muscles,Abdominal Muscles; Trapezius,"The Rings Swing Pull is a ring muscle-up variation. Unlike the regular ring muscle-up, in the ring swing pull you don't go into the push phase (dip) to complete the muscle-up. You use only the momentum and pull yourself as high as possible. Start by grabbing the rings in a false grip and hang with your arms extended. Swing your body through your shoulders and alternate between hollow and arch positions. When you are in the hollow position, drive your hips up towards the rings and pull the rings towards your chest as the torso leans back.",
Swing Squat Style (Kettlebell),/exercise/469,https://app.strength.muscleandmotion.com/exercise/469,Quadriceps Femoris; Gluteus Maximus,Hamstrings; Gastrocnemius; Anterior Deltoid,Erector Spinae; Abdominal Muscles; Trapezius; Latissimus Dorsi,,Kettlebell
Swing Switch (Kettlebell),/exercise/1202,https://app.strength.muscleandmotion.com/exercise/1202,Gluteus Maximus,Hamstrings; Quadriceps Femoris; Gastrocnemius; Soleus,Erector Spinae; Transversus Abdominis,"Keeping the heels firmly fixed and while engaging your core, bend your knees and grip the handle of the kettlebell. Then, swing the weight from the floor backward between your legs. Right before you reach the peak of the kettlebell in front of you (about chest height) quickly change hands and finish the movement. As you downswing, maintain a long spine to avoid rounding your back.",Kettlebell
Swing to Snatch (Kettlebell),/exercise/471,https://app.strength.muscleandmotion.com/exercise/471,Gluteus Maximus; Hamstrings,Anterior Deltoid; Quadriceps Femoris; Trapezius,Abdominal Muscles; Erector Spinae; Trapezius; Posterior Deltoid,,Kettlebell
Switch Pull-up (Bodyweight),/exercise/681,https://app.strength.muscleandmotion.com/exercise/681,Latissimus Dorsi,"Biceps Brachii; Brachialis; Brachioradialis; Pectoralis Major; Teres Major; Triceps Brachii, Long Head",Abdominal Muscles,"Switch Pull-Up (Bodyweight) The switch pull-up is an explosive exercise. This variation involves switching your grip from a wide grip to narrow grip. In order to accomplish this movement, you must pull yourself up quickly and aggressively.",Bodyweight
Tall Kneeling Arnold Press (Dumbbell),/exercise/1011,https://app.strength.muscleandmotion.com/exercise/1011,Anterior Deltoid; Middle Deltoid; Posterior Deltoid,Serratus Anterior; Upper Trapezius; Lower Trapezius; Triceps Brachii,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm; Gluteus Maximus,"Tall Kneeling Arnold Press (Dumbbells) The Tall Kneeling Arnold Press is a variation of the classic Arnold Press, only kneeling. The tall kneeling position challenges the core muscles and mainly the abdominals and the Gluteus maximus, which must stabilize the pelvis and tilt it posteriorly.",Dumbbell
Tall Kneeling Chop (Cable Bar),/exercise/562,https://app.strength.muscleandmotion.com/exercise/562,External Oblique; Pectoralis Major; Hip External Rotators (Deep Layer); Internal Oblique,Triceps Brachii; Serratus Anterior,Abdominal Muscles; Erector Spinae; Multifidus; Rotatores; Hip External Rotators (Deep Layer); Adductor Longus; Pelvic Diaphragm; Diaphragm,,Cable; Cable Bar
"Tall Kneeling Chop, Spiral Line (Cable)",/exercise/583,https://app.strength.muscleandmotion.com/exercise/583,,,,,Cable
Tall Kneeling Close Grip Shoulder Press,/exercise/1277,https://app.strength.muscleandmotion.com/exercise/1277,Anterior Deltoid,Serratus Anterior; Upper Trapezius; Lower Trapezius; Triceps Brachii; Deltoid,Transversus Abdominis; Abdominal Muscles; Quadratus Femoris (Hip Rotators) (4); Gluteus Maximus,"The Tall Kneeling Close Grip Shoulder Press exercise is a variation of the classic Shoulder Press, only kneeling. The tall kneeling position challenges the core muscles, and mainly the abdominal muscles and the gluteus maximus, which are required to stabilize the pelvis and tilt it posteriorly. The close grip is intended to strengthen the anterior deltoid muscle. Hold the weights close together at chest height. Push the weights upward until the arms are straight, and lower them back down slowly.",
Tall Kneeling Shoulder Press,/exercise/1006,https://app.strength.muscleandmotion.com/exercise/1006,Anterior Deltoid; Middle Deltoid,"Serratus Anterior; Upper Trapezius; Lower Trapezius; Pectoralis Major, Clavicular Head; Triceps Brachii",Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm; Gluteus Maximus,"The Tall Kneeling Shoulder Press exercise is a variation of the classic Shoulder Press, only kneeling. The tall kneeling position challenges the core muscles, and mainly the abdominal muscles and the Gluteus Maximus, which are required to stabilize the pelvis and tilt it posteriorly.",
Tensor Fascia Latae (TFL) Stretch,/exercise/127,https://app.strength.muscleandmotion.com/exercise/127,,,,"This exercise stretches the hip abductors, mainly the anterior fibers, as well as the Tensor Fascia Latae. From a standing position, extend the hip backwards and abduct it until it passes the line of the supporting leg.",
Tensor Fasciae Latae Release (Ball),/exercise/1355,https://app.strength.muscleandmotion.com/exercise/1355,Tensor Fasciae Latae; Quadriceps Femoris; Gluteus Medius,,Abdominal Muscles; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Pectoralis Major (Respiration); Serratus Anterior,"Lie on your side with your forearm resting on the ground beneath your shoulder. Place a ball, such as a tennis or lacrosse ball, on the anterolateral side of your thigh, against the mat. Slowly move your body up and down, allowing the ball to create pressure on the tensor fasciae latae.",
The Spiral Line,/exercise/567,https://app.strength.muscleandmotion.com/exercise/567,Splenius Capitis & Cervicis; Rhomboid Muscles; Serratus Anterior; External Oblique; Internal Oblique; Tensor Fasciae Latae; Tibialis Anterior; Peroneus Longus; Biceps Femoris Long Head (Hamstring) (4); Erector Spinae; Hamstrings,,,"The Spiral Line (SPL) loops around the body in a double helix, joining each side of the skull across the upper back to the opposite shoulder, and then around the ribs to cross in the front at the level of the navel to the same hip. From the hip, the Spiral Line passes like a 'jump rope' along the anterolateral thigh and shin to the medial longitudinal arch, passing under the foot and running up the back and outside of the leg to the ischium and across the midline to the long dorsal sacroiliac ligament, and from there to the erectors, so that we end up on the opposite side of the skull from where we started.",
The Spiral Line and Diagonal / Spinal Patterns,/exercise/579,https://app.strength.muscleandmotion.com/exercise/579,,,,,
The Yoke Walk,/exercise/1263,https://app.strength.muscleandmotion.com/exercise/1263,Abdominal Muscles; Gluteus Maximus; Gluteus Medius; Erector Spinae; Quadriceps Femoris,Hamstrings; Gastrocnemius; Soleus,Trapezius; Rhomboid Muscles; Serratus Anterior; Levator Scapulae,"The Yoke Walk is a popular strongman exercise where athletes carry a heavily loaded frame balanced across the back of their shoulders over a set distance as quickly as possible. Start by getting under the yoke in a quarter squat position. Stand up, brace your core and push through your feet and stabilize the yoke.",
Thomas Test Stretch (Foam Roller),/exercise/691,https://app.strength.muscleandmotion.com/exercise/691,,,,"Lie on your back on a mat. - Bend both knees into your chest, so your back is rounded towards the ground. - Hug the right knee in and slowly straighten your left leg. - For an extra stretch, push your left heel into the floor and hug the right leg tightly. Hugging the right leg will rotate the pelvis backwards and will stretch the hip flexors of the left leg. Hold for 20 seconds. Repeat on the other side.",Foam Roller
Thorax Extension (Bench),/exercise/369,https://app.strength.muscleandmotion.com/exercise/369,Erector Spinae,Trapezius; Rhomboid Muscles,Gluteus Maximus; Hamstrings,Slowly start to extend your spine until your chest is in the air. Return to the starting position and then repeat.,Bench
Thorax Extension (Roman Chair),/exercise/370,https://app.strength.muscleandmotion.com/exercise/370,Erector Spinae,,Multifidus; Gluteus Maximus; Hamstrings,"Lean your upper back forward and slowly extend your torso back upward, and repeat. You can increase exercise difficulty by moving your hands higher thus increasing the torque on the upper back.",
Three Repetition Maximum Deadlift (MDL),/exercise/911,https://app.strength.muscleandmotion.com/exercise/911,Gluteus Maximus; Quadriceps Femoris,Hamstrings,Latissimus Dorsi; Biceps Brachii; Brachialis; Brachioradialis; Trapezius; Erector Spinae; Transversus Abdominis,,
Thruster (Barbell),/exercise/371,https://app.strength.muscleandmotion.com/exercise/371,Quadriceps Femoris; Gluteus Maximus; Gastrocnemius; Anterior Deltoid; Middle Deltoid,Hamstrings; Gastrocnemius; Soleus; Triceps Brachii; Trapezius; Supraspinatus,Erector Spinae; Abdominal Muscles; Pelvic Diaphragm; Diaphragm,"The barbell thruster is a combination of a front squat and overhead press. The upward momentum and acceleration of the bar comes from the feet pushing the floor. The objective is for explosive power to come from the leg muscles and the hips; the arms merely accompany the bar upward. If our aim is to strengthen the shoulder muscles and not work on explosive power of the lower body extremities, we simply break the sequence between the squat and the shoulder press. Elevation will be slower, or we can delay it a bit at the end of the squat and then press the bar upward using power from the deltoid muscles and elbow extensors. Of course, in this condition what is appropriate weight for the shoulder press will not necessarily constitute a heavy load for the leg muscles.",Barbell
"Thruster (BOSU DomeUp, Dumbbell)",/exercise/831,https://app.strength.muscleandmotion.com/exercise/831,Quadriceps Femoris; Gluteus Maximus; Deltoid; Flexor Hallucis Brevis (1),Hamstrings; Triceps Brachii; Serratus Anterior; Gastrocnemius; Soleus; Upper Trapezius; Lower Trapezius,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm; Rectus Abdominis; Flexor Hallucis Longus; Sole of Foot (3rd Plantar Layer); Flexor Hallucis Brevis (1); Tibialis Anterior; Tibialis Posterior; Peroneus Brevis; Peroneus Longus,"The upward momentum and acceleration of the dumbbells comes from the feet pushing the floor. The objective is for explosive power to come from the leg muscles and the hips; the arms merely accompany the dumbbells upward. If our aim is to strengthen the shoulder muscles and not work on explosive power of the lower body extremities, we simply break the sequence between the squat and the shoulder press. Elevation will be slower, or we can delay it a bit at the end of the squat and then press the bar upward using power from the deltoid muscles and elbow extensors. Of course, in this condition what is appropriate weight for the shoulder press will not necessarily constitute a heavy load for the leg muscles.",BOSU; Dumbbell
Thruster (Dumbbell),/exercise/372,https://app.strength.muscleandmotion.com/exercise/372,Quadriceps Femoris; Gluteus Maximus; Anterior Deltoid,Hamstrings; Upper Trapezius; Serratus Anterior; Gastrocnemius; Soleus; Triceps Brachii,Abdominal Muscles,"The upward momentum and acceleration of the bar comes from the feet pushing the floor. The objective is for explosive power to come from the leg muscles and the hips; the arms merely accompany the bar upward. If our aim is to strengthen the shoulder muscles and not work on explosive power of the lower body extremities, we simply break the sequence between the squat and the shoulder press. Elevation will be slower, or we can delay it a bit at the end of the squat and then press the bar upward using power from the deltoid muscles and elbow extensors. Of course, in this condition what is appropriate weight for the shoulder press will not necessarily constitute a heavy load for the leg muscles.",Dumbbell
Thruster (Resistance Band),/exercise/859,https://app.strength.muscleandmotion.com/exercise/859,Gluteus Maximus; Quadriceps Femoris; Deltoid,Gastrocnemius; Soleus; Hamstrings; Trapezius; Triceps Brachii; Serratus Anterior; Supraspinatus,Abdominal Muscles; Erector Spinae; Pelvic Diaphragm; Diaphragm,The thruster exercise combines squat with shoulder press. Move the resistance band to beneath the feet and hold it on the other side. Descend into a squat position and while rising push the band and raise your hands over your head.,Resistance Band
Thruster (Sandbag),/exercise/941,https://app.strength.muscleandmotion.com/exercise/941,Gluteus Maximus; Quadriceps Femoris; Deltoid,Hamstrings; Gastrocnemius; Soleus; Serratus Anterior; Upper Trapezius,Erector Spinae; Transversus Abdominis; Pelvic Diaphragm; Diaphragm,"The Thruster exercise combines full Squat with Shoulder Press. The upward momentum and acceleration of the Sandbag comes from the feet pushing the floor. The goal is for explosive power to come from the leg muscles and the hips; the arms merely accompany the bag upward. If our aim is to strengthen the shoulder muscles and not work on explosive power of the lower body extremities, we simply break the sequence between the Squat and the shoulder press. Elevation will be slower, or we can delay it a bit at the end of the Squat and then press the bag upward using power from the Deltoid muscles and elbow extensors. Of course, in this condition what is appropriate weight for the shoulder press will not necessarily constitute a heavy load for the leg muscles.",Sandbag
Tibialis Raise,/exercise/1278,https://app.strength.muscleandmotion.com/exercise/1278,Tibialis Anterior,Extensor Hallucis Longus; Extensor Digitorum Longus; Peroneus Tertius,Quadratus Femoris (Hip Rotators) (4); Erector Spinae,"The Tibialis Raise, also known as Forefoot Raise, is an exercise aimed at strengthening your shin muscles, specifically your tibialis anterior. Stand with your back leaning against a wall and your feet flat on the floor. Pull your forefoot towards your shins as far as you can and slowly lower back down, then repeat.",
Tiger Bend Narrow Grip Push-up,/exercise/991,https://app.strength.muscleandmotion.com/exercise/991,Triceps Brachii; Anterior Deltoid,Pectoralis Major; Serratus Anterior,Abdominal Muscles; Diaphragm; Pelvic Diaphragm; Psoas Major; Iliacus; Quadriceps Femoris,"The Tiger Bend Narrow Grip Push-ups exercise is designed to strengthen the Triceps and core muscles. Start in a plank, arms straight and apart at shoulder-width. Descend while keeping your elbows close to the body. When you reach the bottom, push your body back and press your elbows to the floor. Return to the Push-up position with the elbows close to the body, and push back up to the initial position.",
Tiger Bend Narrow Grip Push-up (Parallettes),/exercise/994,https://app.strength.muscleandmotion.com/exercise/994,Triceps Brachii; Anterior Deltoid,"Serratus Anterior; Pectoralis Major, Clavicular Head; Pectoralis Major, Sternal Head",Abdominal Muscles; Diaphragm; Pelvic Diaphragm; Multifidus,"The Tiger Bend Narrow Grip Push-Ups with Parallettes is an exercise meant to strengthen the Triceps and core muscles. Place the parallettes at shoulder width apart and start in a plank with arms straight. Go down while keeping your elbows close to the body. When you reach bottom, push your body back and press your elbows to the floor. Return to the Push-up position with the elbows close to the body, and push back up to the initial position.",Parallettes
Tiger Bend Standard Grip Push-up,/exercise/992,https://app.strength.muscleandmotion.com/exercise/992,"Pectoralis Major, Sternal Head; Pectoralis Major, Clavicular Head; Pectoralis Major, Costal Head",Triceps Brachii; Serratus Anterior; Anterior Deltoid,Abdominal Muscles; Diaphragm; Pelvic Diaphragm; Psoas Major; Iliacus; Quadriceps Femoris; Multifidus,"The Tiger Bend Standard Grip Push-ups is similar to the classic Push-up, with the addition of pushing the body backward, resembling a tiger move. Start in a plank, arms straight and apart at shoulder-width. Go down while keeping your elbows close to the body. When you reach bottom, push your body back and press your elbows to the floor. Return to the Push-up position with the elbows close to the body, and push back up to the initial position.",
Tiger Bend Standard Grip Push-up (Parallettes),/exercise/995,https://app.strength.muscleandmotion.com/exercise/995,"Pectoralis Major, Clavicular Head",Serratus Anterior; Triceps Brachii; Anterior Deltoid,Abdominal Muscles; Diaphragm; Pelvic Diaphragm; Psoas Major; Iliacus; Quadriceps Femoris; Multifidus,"The Tiger Bend Standard Grip Push-up is similar to the classic Push-up, with the addition of pushing the body backward, resembling a tiger move. Start in a plank on parallettes placed at shoulder width apart with arms straight. Go down while keeping your elbows close to the body. When you reach the bottom, touch the paralttes with your elbows. Push your body forward. Return to the Push-up position with the elbows close to the body, and push back up to the initial position.",Parallettes
Toe Flexion,/exercise/702,https://app.strength.muscleandmotion.com/exercise/702,Flexor Digitorum Longus; Flexor Hallucis Longus,Flexor Digitorum Brevis (2); Flexor Hallucis Brevis (1); Extensor Digiti Minimi (6); Abductor Halluci (3); Lumbrical Muscles; Dorsal Interossei (2); Plantar Interossei (1),Flexor Digitorum Longus; Flexor Hallucis Longus; Tibialis Anterior; Tibialis Posterior; Gluteus Maximus; Gluteus Medius; Piriformis (Hip Rotators) (3),"Flex the toes and lift the object. Hold the object in the air for about half a minute. Note: In addition to the muscles that are active in the foot holding the object, we must also activate the muscles of the standing foot.",
Toes to Bar (Straight Legs),/exercise/374,https://app.strength.muscleandmotion.com/exercise/374,Rectus Abdominis; Iliacus; Psoas Major; Latissimus Dorsi,"External Oblique; Internal Oblique; Teres Major; Posterior Deltoid; Pectoralis Major, Costal Head; Sartorius; Tensor Fasciae Latae",Wrist Flexors; Lower Trapezius,"Toes to Bar with Straight Legs is an exercise aimed at strengthening your abdominal and hip flexor muscles. Straight legs create greater torque and make it more difficult. Hang from a pull-up bar with an overhand grip, your arms slightly wider than shoulder-width. Slowly lower your legs back to the starting position and repeat for the desired number of repetitions.",
Trapezius Release,/exercise/1284,https://app.strength.muscleandmotion.com/exercise/1284,Upper Trapezius; Middle Trapezius; Lower Trapezius,,,Start by placing a small ball between your upper back and a wall. Press your back against the ball and move slowly up and down.,
Triangle Pose,/exercise/128,https://app.strength.muscleandmotion.com/exercise/128,,,,"The triangle pose engages every part of the body, strengthens the core, opens the hips and shoulders, and stretches the legs. Begin in a standing position, feet together, arms at your sides. Inhale deeply and extend your arms up overhead. On the exhale, step one foot back about 3-4 feet and point your toes out at an angle. With both arms extended and palms facing down, reach one arm forward and the other arm back, keeping your arms parallel to the ground. Lift your chest and gaze up at your thumbs. Hold for 5-10 breaths before releasing your arms and coming back to standing position. Repeat on the opposite side.",
Triceps Brachii Stretch,/exercise/376,https://app.strength.muscleandmotion.com/exercise/376,,,,To stretch the triceps brachii place your shoulder in a flexed position while simultaneously flexing your elbow behind your head. Apply gentle overpressure with your opposite hand. Hold the position for 15-30 seconds.,
Triceps Brachii Stretch - Using the Wall,/exercise/424,https://app.strength.muscleandmotion.com/exercise/424,,,,A simple variation for the triceps brachii stretch is to use a wall for overpressure: place your shoulder in a flexed position while simultaneously flexing your elbow behind your head. Apply gentle overpressure by leaning into the wall while holding your forearm down with your opposite hand. Hold the position for 15-30 seconds.,
Triceps Dips,/exercise/62,https://app.strength.muscleandmotion.com/exercise/62,Triceps Brachii; Anterior Deltoid,"Pectoralis Major, Sternal Head; Latissimus Dorsi; Pectoralis Major, Costal Head; Pectoralis Major; Anconeus; Serratus Anterior",Abdominal Muscles; Subscapularis; Infraspinatus; Teres Minor; Supraspinatus; Lower Trapezius; Wrist Extensors; Wrist Flexors,,
Triceps Extension (Bodyweight),/exercise/996,https://app.strength.muscleandmotion.com/exercise/996,,,,,Bodyweight
Triceps Extension (Resistance Band),/exercise/379,https://app.strength.muscleandmotion.com/exercise/379,Triceps Brachii,Anconeus,Deltoid; Abdominal Muscles; Multifidus; Transversus Abdominis; Pelvic Diaphragm,"Grip the ends of the resistance band with both hands. Lift your elbows to shoulder height, straighten one arm and bend again.",Resistance Band
Triceps Extension (Rings),/exercise/1223,https://app.strength.muscleandmotion.com/exercise/1223,Triceps Brachii,Anconeus,Abdominal Muscles; Anterior Deltoid; Transversus Abdominis; Pelvic Diaphragm; Subscapularis; Infraspinatus; Teres Minor; Latissimus Dorsi; Serratus Anterior; Wrist Flexors,"Start by grabbing the rings with a pronated grip and tuck your elbows in slightly. Take one step backward; your shoulders should be flexed and your elbows straight. Lower your body toward the rings by bending your elbows while maintaining a neutral position in your back. To get back to the starting position, extend your elbows to push yourself back up.",
